conflict_id,full_conflict_size,context_before_size,conflict_size,context_after_size,resolution_size,parent1_size,parent2_size,base_size
7423a2,30,3,24,3,10,17,4,-1
7427a1,11,3,5,3,29,1,1,-1
7427a2,11,3,5,3,29,1,1,-1
7427b1,10,3,4,3,34,1,0,-1
7428a1,10,3,4,3,35,0,1,-1
7428a2,14,3,8,3,37,2,3,-1
7429a1,10,3,4,3,24,0,1,-1
7429a2,13,3,7,3,26,2,2,-1
7429a3,41,3,35,3,39,13,19,-1
7429a4,33,3,27,3,21,10,14,-1
7429a5,22,3,16,3,17,6,7,-1
7429b1,10,3,4,3,21,0,1,-1
7429b2,28,3,22,3,25,8,11,-1
7431a1,10,3,4,3,35,1,0,-1
7434a1,66,3,60,3,78,38,19,-1
7437a1,11,3,5,3,35,1,1,-1
7437b1,10,3,4,3,34,0,1,-1
7437b2,11,3,5,3,19,1,1,-1
